fecha,cuenta,texto
Sat Dec 03 21:32:41 +0000 2016,JodyField,+https://t.co/0833Vjj04j Mayor of Town That Lost Carrier Jobs Invites Trump to V... https://t.co/MHr6KYvB3R #news https://t.co/6iOFfORXuV
Sat Dec 03 21:06:08 +0000 2016,neutralnews,Mayor of Town That Lost Carrier Jobs Invites Trump to Visit: President-elect Donald Trump’s deal with U.S.… https://t.co/oI3N2xPjis
Sat Dec 03 20:34:37 +0000 2016,myriamps,"RT @VOANews: Mayor of Mexico town that lost nearly 1,000 Carrier jobs has invited President-elect Donald Trump to visit. https://t.co/3jR6V…"
Sat Dec 03 20:31:57 +0000 2016,Streitapfel,RT @El_Grillo1: Mayor of Mexican Town That Lost Carrier Jobs Invites Trump to Visit https://t.co/pHbIArY0nT
Sat Dec 03 20:31:34 +0000 2016,El_Grillo1,Mayor of Mexican Town That Lost Carrier Jobs Invites Trump to Visit https://t.co/pHbIArY0nT
Sat Dec 03 20:28:49 +0000 2016,Magaj43,"RT @VOANews: Mayor of Mexico town that lost nearly 1,000 Carrier jobs has invited President-elect Donald Trump to visit. https://t.co/3jR6V…"
Sat Dec 03 20:25:21 +0000 2016,ChrisAdamTweets,Mayor of Town That Lost Carrier Jobs Invites Trump to Visit https://t.co/eaDj5zhDFq
Sat Dec 03 20:19:36 +0000 2016,RidhoHnf,#TeamFollowBack Mayor of Town That Lost Carrier Jobs Invites Trump to Visit https://t.co/YQ2YLWktwq #AutoFollowback
Sat Dec 03 20:19:16 +0000 2016,study_english_5,Mayor of Town That Lost Carrier Jobs Invites Trump to Visit https://t.co/8cj64TGwgi
Sat Dec 03 20:15:06 +0000 2016,SmartStudioCo,Mayor of Town That Lost Carrier Jobs Invites Trump to Visit https://t.co/yAQfjJnW8W https://t.co/dJ9LLf9Oxu
Sat Dec 03 20:12:41 +0000 2016,Roobensdemen,"RT @VOANews: Mayor of Mexico town that lost nearly 1,000 Carrier jobs has invited President-elect Donald Trump to visit. https://t.co/3jR6V…"
Sat Dec 03 20:11:35 +0000 2016,eigoganbaru2011,[VOA] Mayor of Town That Lost Carrier Jobs Invites Trump to Visit https://t.co/3Stwj49n3K
Sat Dec 03 20:10:45 +0000 2016,pabloalamo,RT @VOANews: Mayor of Town That Lost Carrier Jobs Invites Trump to Visit https://t.co/7KuysaVABa https://t.co/XsVuKShu71
Sat Dec 03 20:03:26 +0000 2016,RadioLondra_,Qui Radio Londra: Mayor of Town That Lost Carrier Jobs Invites Trump to Visit https://t.co/bDZ9KYZooi
Sat Dec 03 20:03:12 +0000 2016,Meyawos,"RT @VOANews: Mayor of Mexico town that lost nearly 1,000 Carrier jobs has invited President-elect Donald Trump to visit. https://t.co/3jR6V…"
Sat Dec 03 20:00:32 +0000 2016,asifpervezphd,#Google VOANews: Mayor of Town That Lost Carrier Jobs Invites Trump to Visit https://t.co/peMTgqQFzS https://t.co/eLsLW3cnq9
Sat Dec 03 20:00:31 +0000 2016,asifpervezphd,"#Google VOANews: Mayor of Mexico town that lost nearly 1,000 Carrier jobs has invited President-elect Donald Trump… https://t.co/k8XEHilaOH"
Sat Dec 03 19:59:19 +0000 2016,RingoNbi,RT @VOANews: Mayor of Town That Lost Carrier Jobs Invites Trump to Visit https://t.co/7KuysaVABa https://t.co/XsVuKShu71
Sat Dec 03 19:59:13 +0000 2016,AfghanHerald,Mayor of Town That Lost Carrier Jobs Invites Trump to Visit https://t.co/ou2R4O2v7b https://t.co/bohIFY2cSN
Sat Dec 03 19:58:38 +0000 2016,VOANews,Mayor of Town That Lost Carrier Jobs Invites Trump to Visit https://t.co/7KuysaVABa https://t.co/XsVuKShu71
Sat Dec 03 19:58:17 +0000 2016,AlbertKoudaJr,"RT @VOANews: Mayor of Mexico town that lost nearly 1,000 Carrier jobs has invited President-elect Donald Trump to visit. https://t.co/3jR6V…"
Sat Dec 03 19:56:37 +0000 2016,majormarginal,"RT @VOANews: Mayor of Mexico town that lost nearly 1,000 Carrier jobs has invited President-elect Donald Trump to visit. https://t.co/3jR6V…"
Sat Dec 03 19:55:52 +0000 2016,VOANews,"Mayor of Mexico town that lost nearly 1,000 Carrier jobs has invited President-elect Donald Trump to visit. https://t.co/3jR6VCQx2c"
Sat Dec 03 18:35:04 +0000 2016,UnidosUSAF,"Starting on Thursday, Mexican residents will not need a Visa to visit Canada #StrongerTogether #Partnerships https://t.co/KGBctwrhsB"
Sat Dec 03 17:19:57 +0000 2016,JeanMornard,Donald Trump's Mexico visit ends with Mexico disputing his comments https://t.co/CjuDhBoouA
Sat Dec 03 08:59:39 +0000 2016,JohnJohnhooja,NDTV News - Special: Mexico Calls Donald Trump Wall Plan 'Outrageous' After Visit https://t.co/JAsYSf7kD0
Fri Dec 02 23:59:23 +0000 2016,JackChesser,"Donald Trump Celebrates Saved Carrier Jobs While Nearby Company Plans Mexico Move 
DONALD - PAY THE NEARBY COMPANY A VISIT !"
Fri Dec 02 18:58:18 +0000 2016,Vauhxx,"Mexicans can now visit Canada with an Electronic Travel Authorization (eTA), which costs 7 Canadian dollars and... https://t.co/FbMbsjsWei"
Fri Dec 02 17:50:28 +0000 2016,BaoThien,#CarrierDeal Just right on his visit &amp; speech in Indy. #Trump helped them to build new plant in Mexico w/ $7mio in… https://t.co/gdHxIEPbiR
Fri Dec 02 09:24:00 +0000 2016,BestofT,[TheDailyNew] The Five 9/1/2016 : Clinton Campaign Blasts Trump's Mexico Visit &amp; Immigration Speech: https://t.co/v5iOjKnzQG przez
Fri Dec 02 06:37:45 +0000 2016,minnieyap1,"RT @RealDonalDrumpf: Can't wait to visit Carrier tomorrow! If you want to shop my look, I'll be wearing a Trump suit made in Mexico, &amp; a sh…"
Fri Dec 02 05:33:50 +0000 2016,PkmnLover9000,"RT @RealDonalDrumpf: Can't wait to visit Carrier tomorrow! If you want to shop my look, I'll be wearing a Trump suit made in Mexico, &amp; a sh…"
